id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
545,GLORY,GL20211024007,10/24/21,"$54,486.82 ","$54,342.00 ","$37,240.00 ",,"($34,801.16)",,,($248.50),($656.89),($811.83),($576.80),,,
546,GLORY,GL20211031007,10/31/21,"$52,229.56 ","$75,750.00 ","$11,550.00 ",,"($33,174.00)",,,($106.93),($960.92),($251.79),($576.80),,,
547,GLORY,GL20211107007,11/7/21,"$98,821.93 ","$110,168.00 ","$55,382.00 ",,"($62,909.00)",,,($474.72),"($1,416.02)","($1,207.33)",($721.00),,,
548,GLORY,GL20211114007,11/14/21,"$63,257.40 ","$76,595.00 ","$29,281.00 ",,"($40,232.88)",,,($116.96),"($1,053.63)",($638.33),($576.80),,,
549,GLORY,GL20211128014,11/28/21,"$299,258.34 ","$248,318.00 ","$251,685.00 ",,"($190,001.14)",,,($737.72),"($3,365.47)","($5,486.73)","($1,153.60)",,,
550,GLORY,GL20211121007,11/21/21,"$37,161.46 ","$28,935.00 ","$33,910.00 ",,"($23,881.10)",,,($129.25),($357.15),($739.24),($576.80),,,
551,GLORY,GL20211219007,12/19/21,"$34,784.67 ","$42,573.00 ","$16,078.00 ",,"($22,287.38)",,,($92.94),($558.71),($350.50),($576.80),,,
552,GLORY,GL20220116007,1/16/22,"$28,736.82 ","$28,542.00 ","$20,203.00 ",,"($18,523.10)",,,($120.72),($347.13),($440.43),($576.80),,,
553,GLORY,GL20211212007,12/12/21,"$93,361.78 ","$55,158.00 ","$40,498.00 ",,,,,($157.58),($676.98),($882.86),($576.80),,,
554,GLORY,GL20211226007,12/26/21,"$41,143.99 ","$46,395.00 ","$22,905.00 ",,"($26,334.00)",,,($141.16),($604.72),($499.33),($576.80),,,
555,GLORY,GL20220123014,1/23/22,"($1,153.60)",,,,"($1,153.60)",,,,,,,,,
556,GLORY,GL20220206007,2/6/22,"$67,145.80 ","$38,658.00 ","$74,953.00 ",,"($43,172.18)",,,($184.02),($465.62),"($1,633.98)","($1,009.40)",,,
557,GLORY,GL20220102007,1/2/22,"$32,384.70 ","$42,578.00 ","$11,895.00 ",,"($20,699.74)",,,($25.23),($527.22),($259.31),($576.80),,,
558,GLORY,GL20220109007,1/9/22,"$53,537.11 ","$49,895.00 ","$40,242.00 ",,"($34,252.06)",,,($213.82),($679.93),($877.28),($576.80),,,
559,GLORY,GL20220213007,2/13/22,"$39,116.08 ","$48,210.00 ","$17,699.00 ",,"($25,045.42)",,,($168.78),($616.08),($385.84),($576.80),,,
560,GLORY,GL20220220007,2/20/22,"$44,246.71 ","$55,925.00 ","$18,476.50 ",,"($28,272.57)",,,($116.88),($785.75),($402.79),($576.80),,,
561,GLORY,GL20220227006,2/27/22,"$42,961.17 ","$54,266.00 ","$18,068.00 ",,"($27,486.92)",,,($182.92),($691.11),($393.88),($618.00),,,
562,GLORY,GL20220305008,3/5/22,"$69,339.37 ","$101,551.00 ","$14,693.00 ",,"($44,172.72)",,,($139.55),"($1,448.05)",($320.31),($824.00),,,
563,GLORY,GL20220313007,3/13/22,"$40,784.27 ","$40,275.00 ","$28,346.00 ",,"($26,075.98)",,,($129.60),($518.81),($617.94),($494.40),,,
564,GLORY,GL20220320007,3/20/22,"$50,839.76 ","$63,672.00 ","$21,688.00 ",,"($32,436.80)",,,($146.88),($886.96),($472.80),($576.80),,,
565,GLORY,GL20220327007,3/27/22,"$51,790.87 ","$59,083.48 ","$27,691.00 ",,"($33,385.66)",,$541.26 ,($142.56),($777.19),($603.66),($576.80),($39.00),,
566,GLORY,GL20220403007,4/3/22,"$73,207.35 ","$84,335.00 ","$38,797.00 ",,"($46,790.16)",,,($234.59),"($1,250.73)",($845.77),($803.40),,,
567,GLORY,GL20220410007,4/10/22,"$40,913.58 ","$41,376.00 ","$27,861.00 ",,"($26,310.06)",,,($130.80),($554.19),($607.37),($721.00),,,
568,GLORY,GL20220417007,4/17/22,"$93,830.74 ","$86,267.08 ","$70,670.20 ",,"($60,063.94)",,$562.86 ,($373.97),"($1,114.08)","($1,540.61)",($576.80),,,
